Code,obese_2013_new
E05009288,0.1
E05009297,0.1
E05009302,0.1
E05009308,0.1
E05000026,0.2471655
E05000027,0.259953162
E05000028,0.29258517
E05000029,0.245856354
E05000030,0.215625
E05000031,0.265135699
E05000032,0.289883268
E05000033,0.251641138
E05000034,0.260180995
E05000035,0.248858447
E05000036,0.243055556
E05000037,0.265306122
E05000038,0.301745636
E05000039,0.269617706
E05000040,0.245783133
E05000041,0.278894472
E05000042,0.22826087
E05000043,0.164893617
E05000044,0.253144654
E05000045,0.169398907
E05000046,0.260273973
E05000047,0.195011338
E05000048,0.221719457
E05000049,0.173126615
E05000050,0.170923379
E05000051,0.115819209
E05000052,0.125
E05000053,0.164359862
E05000054,0.205660377
E05000055,0.19124424
E05000056,0.160818713
E05000057,0.18220339
E05000058,0.169230769
E05000059,0.179411765
E05000060,0.194690265
E05000061,0.145015106
E05000062,0.164974619
E05000063,0.208333333
E05000064,0.248484848
E05000065,0.28372093
E05000066,0.2
E05000067,0.157894737
E05000068,0.237012987
E05000069,0.142348754
E05000070,0.266490765
E05000071,0.195592287
E05000072,0.253968254
E05000073,0.229166667
E05000074,0.229691877
E05000075,0.299065421
E05000076,0.249275362
E05000077,0.224226804
E05000078,0.174418605
E05000079,0.227571116
E05000080,0.224880383
E05000081,0.144104803
E05000082,0.219907407
E05000083,0.183962264
E05000084,0.28
E05000085,0.188492063
E05000086,0.251473477
E05000087,0.229090909
E05000088,0.21942446
E05000089,0.26681128
E05000090,0.212264151
E05000091,0.29305136
E05000092,0.270731707
E05000093,0.215753425
E05000094,0.257847534
E05000095,0.216494845
E05000096,0.209375
E05000097,0.238297872
E05000098,0.173780488
E05000099,0.215077605
E05000100,0.264864865
E05000101,0.259023355
E05000102,0.271867612
E05000103,0.266094421
E05000104,0.203991131
E05000105,0.266821346
E05000106,0.12539185
E05000107,0.141447368
E05000108,0.178197065
E05000109,0.132963989
E05000110,0.112798265
E05000111,0.155115512
E05000112,0.165374677
E05000113,0.133004926
E05000114,0.221782178
E05000115,0.182539683
E05000116,0.238095238
E05000117,0.154411765
E05000118,0.151394422
E05000119,0.120481928
E05000120,0.151898734
E05000121,0.226519337
E05000122,0.19527897
E05000123,0.252155172
E05000124,0.095238095
E05000125,0.148717949
E05000126,0.116788321
E05000127,0.119521912
E05000128,0.186813187
E05000129,0.282608696
E05000130,0.165876777
E05000131,0.202898551
E05000132,0.205714286
E05000133,0.16725
E05000134,0.233552632
E05000135,0.16725
E05000136,0.259459459
E05000137,0.135021097
E05000138,0.255319149
E05000139,0.192567568
E05000140,0.220820189
E05000141,0.212121212
E05000142,0.261398176
E05000143,0.244635193
E05000144,0.222222222
E05000145,0.159763314
E05000146,0.216066482
E05000147,0.231914894
E05000148,0.244206774
E05000149,0.254961832
E05000150,0.174033149
E05000151,0.196808511
E05000152,0.190635452
E05000153,0.248387097
E05000154,0.245614035
E05000155,0.178362573
E05000156,0.146987952
E05000157,0.278325123
E05000158,0.235042735
E05000159,0.168508287
E05000160,0.125340599
E05000161,0.26986755
E05000162,0.154150198
E05000163,0.2
E05000164,0.234234234
E05000165,0.266556291
E05000166,0.23690205
E05000167,0.199211045
E05000168,0.248
E05000169,0.236156352
E05000170,0.194373402
E05000171,0.192477876
E05000172,0.23388582
E05000173,0.150537634
E05000174,0.20952381
E05000175,0.260960334
E05000176,0.225653207
E05000177,0.236306729
E05000178,0.245360825
E05000179,0.184027778
E05000180,0.185686654
E05000181,0.235976789
E05000182,0.13125
E05000183,0.248
E05000184,0.248667851
E05000185,0.21901528
E05000186,0.231083845
E05000187,0.244488978
E05000188,0.269035533
E05000189,0.232600733
E05000190,0.246575342
E05000191,0.179775281
E05000192,0.185185185
E05000193,0.211428571
E05000194,0.223756906
E05000195,0.244444444
E05000196,0.206349206
E05000197,0.30078125
E05000198,0.270392749
E05000199,0.266853933
E05000200,0.117216117
E05000201,0.269470405
E05000202,0.194285714
E05000203,0.2431562
E05000204,0.275862069
E05000205,0.225490196
E05000206,0.295774648
E05000207,0.213754647
E05000208,0.174887892
E05000209,0.217983651
E05000210,0.20631068
E05000211,0.25751073
E05000212,0.301092044
E05000213,0.193430657
E05000214,0.287692308
E05000215,0.219101124
E05000216,0.264285714
E05000217,0.218579235
E05000218,0.16056338
E05000219,0.242647059
E05000220,0.24403183
E05000221,0.24686941
E05000222,0.252173913
E05000223,0.241217799
E05000224,0.25
E05000225,0.203174603
E05000226,0.252951096
E05000227,0.226700252
E05000228,0.288996372
E05000229,0.26552795
E05000230,0.24137931
E05009367,0.265306122
E05009368,0.244680851
E05009369,0.167146974
E05009370,0.231958763
E05009371,0.304093567
E05009372,0.256716418
E05009373,0.257217848
E05009374,0.308252427
E05009375,0.282738095
E05009376,0.236318408
E05009377,0.304832714
E05009378,0.271028037
E05009379,0.254545455
E05009380,0.220623501
E05009381,0.2
E05009382,0.32718894
E05009383,0.237467018
E05009384,0.275510204
E05009385,0.235772358
E05009386,0.289002558
E05009387,0.323651452
E05000250,0.238410596
E05000251,0.216393443
E05000252,0.253246753
E05000253,0.218430034
E05000254,0.2
E05000255,0.211111111
E05000256,0.229927007
E05000257,0.194915254
E05000258,0.259887006
E05000259,0.126760563
E05000260,0.233766234
E05000261,0.131067961
E05000262,0.274725275
E05000263,0.280769231
E05000264,0.243421053
E05000265,0.282110092
E05000266,0.098591549
E05000267,0.227920228
E05000268,0.264317181
E05000269,0.115942029
E05000270,0.092417062
E05000271,0.259414226
E05000272,0.14893617
E05000273,0.172205438
E05000274,0.102459016
E05000275,0.312883436
E05000276,0.304964539
E05000277,0.275964392
E05000278,0.285714286
E05000279,0.180995475
E05000280,0.284987277
E05000281,0.28830313
E05000282,0.265789474
E05000283,0.269439421
E05000284,0.23495702
E05000285,0.15890411
E05000286,0.2
E05000287,0.205787781
E05000288,0.205357143
E05000289,0.230452675
E05000290,0.204968944
E05000291,0.222727273
E05000292,0.169811321
E05000293,0.200743494
E05000294,0.223163842
E05000295,0.217712177
E05000296,0.241935484
E05000297,0.127962085
E05000298,0.152091255
E05000299,0.237569061
E05000300,0.178977273
E05000301,0.227272727
E05000302,0.223433243
E05000303,0.158536585
E05000304,0.232876712
E05000305,0.206405694
E05000306,0.219178082
E05000307,0.19047619
E05000308,0.234096692
E05000309,0.195876289
E05000310,0.21875
E05000311,0.167235495
E05000312,0.171014493
E05000313,0.221719457
E05000314,0.248306998
E05000315,0.167958656
E05000316,0.217741935
E05000317,0.115902965
E05000318,0.239690722
E05000319,0.210126582
E05000320,0.184895833
E05000321,0.231101512
E05000322,0.227272727
E05000323,0.135064935
E05000324,0.271217712
E05000325,0.226289517
E05000326,0.179190751
E05000327,0.166666667
E05000328,0.20776699
E05000329,0.120943953
E05000330,0.185
E05000331,0.231884058
E05000332,0.195959596
E05000333,0.132653061
E05000334,0.148541114
E05000335,0.138554217
E05000336,0.206405694
E05000337,0.231839258
E05000338,0.19346049
E05000339,0.230072464
E05000340,0.145772595
E05000341,0.209219858
E05000342,0.226890756
E05000343,0.126811594
E05000344,0.236947791
E05000345,0.245202559
E05000346,0.2825
E05000347,0.225714286
E05000348,0.169230769
E05000349,0.133333333
E05000350,0.265734266
E05000351,0.259358289
E05000352,0.242085661
E05000353,0.271300448
E05000354,0.256716418
E05000355,0.294252874
E05000356,0.227979275
E05000357,0.245579568
E05000358,0.221932115
E05000359,0.247330961
E05000360,0.165680473
E05000361,0.273684211
E05000362,0.207161125
E05000363,0.158075601
E05000364,0.235924933
E05000365,0.156862745
E05000366,0.234375
E05000367,0.229166667
E05000368,0.218855219
E05000369,0.226765799
E05000370,0.224852071
E05000371,0.271641791
E05000372,0.156682028
E05000373,0.176656151
E05000374,0.196013289
E05000375,0.287833828
E05000376,0.157692308
E05000377,0.24382716
E05000378,0.221804511
E05000379,0.218085106
E05000380,0.228571429
E05000381,0.24137931
E05009388,0.2125
E05009389,0.13843
E05009390,0.214285714
E05009391,0.211382114
E05009392,0.217105263
E05009393,0.13843
E05009394,0.247747748
E05009395,0.194915254
E05009396,0.204861111
E05009397,0.15625
E05009398,0.181818182
E05009399,0.256578947
E05009400,0.13843
E05009401,0.13843
E05009402,0.23880597
E05009403,0.333333333
E05009404,0.168674699
E05009405,0.18627451
E05000400,0.205607477
E05000401,0.085858586
E05000402,0.130699088
E05000403,0.120547945
E05000404,0.238095238
E05000405,0.246105919
E05000406,0.213930348
E05000407,0.126666667
E05000408,0.18902439
E05000409,0.195804196
E05000410,0.163822526
E05000411,0.148148148
E05000412,0.087378641
E05000413,0.098445596
E05000414,0.151815182
E05000415,0.116207951
E05000416,0.222222222
E05000417,0.202346041
E05000418,0.202312139
E05000419,0.244541485
E05000420,0.243432574
E05000421,0.326086957
E05000422,0.274559194
E05000423,0.195402299
E05000424,0.213333333
E05000425,0.285714286
E05000426,0.252225519
E05000427,0.238993711
E05000428,0.209125475
E05000429,0.256696429
E05000430,0.208722741
E05000431,0.238663484
E05000432,0.209439528
E05000433,0.265753425
E05000434,0.181818182
E05000435,0.270955166
E05000436,0.277310924
E05000437,0.281690141
E05000438,0.22556391
E05000439,0.248138958
E05000440,0.235023041
E05000441,0.196022727
E05000442,0.267226891
E05000443,0.270175439
E05000444,0.22029703
E05000445,0.242081448
E05000446,0.268456376
E05000447,0.188034188
E05000448,0.25257732
E05000449,0.274725275
E05000450,0.239726027
E05000451,0.200514139
E05000452,0.274944568
E05000453,0.234042553
E05000454,0.248788368
E05000455,0.147465438
E05000456,0.22
E05000457,0.172588832
E05000458,0.240105541
E05000459,0.119205298
E05000460,0.269633508
E05000461,0.271604938
E05000462,0.15483
E05000463,0.25477707
E05000464,0.23495702
E05000465,0.181481481
E05000466,0.114624506
E05000467,0.262019231
E05000468,0.242138365
E05000469,0.11827957
E05000470,0.217721519
E05000471,0.171428571
E05000472,0.15483
E05000473,0.18
E05000474,0.133027523
E05000475,0.213983051
E05000476,0.290740741
E05000477,0.295495495
E05000478,0.277985075
E05000479,0.265225933
E05000480,0.261313869
E05000481,0.248917749
E05000482,0.26546003
E05000483,0.243128964
E05000484,0.277027027
E05000485,0.258188825
E05000486,0.207739308
E05000487,0.265333333
E05000488,0.260504202
E05000489,0.237288136
E05000490,0.276051188
E05000491,0.313531353
E05000492,0.230443975
E05000493,0.2431562
E05000494,0.272189349
E05000495,0.214285714
E05000496,0.215130024
E05000497,0.178861789
E05000498,0.273873874
E05000499,0.156028369
E05000500,0.231448763
E05000501,0.208754209
E05000502,0.186567164
E05000503,0.264705882
E05000504,0.262645914
E05000505,0.224948875
E05000506,0.26171875
E05000507,0.257062147
E05000508,0.231182796
E05000509,0.123152709
E05000510,0.22375
E05000511,0.212814645
E05000512,0.261146497
E05000513,0.137931034
E05000514,0.245575221
E05000515,0.185897436
E05000516,0.146551724
E05000517,0.075949367
E05000518,0.089605735
E05000519,0.131914894
E05000520,0.145833333
E05000521,0.197424893
E05000522,0.101449275
E05000523,0.188854489
E05000524,0.126086957
E05000525,0.113300493
E05000526,0.111607143
E05000527,0.089147287
E05000528,0.098684211
E05000529,0.086956522
E05000530,0.059288538
E05000531,0.075675676
E05000532,0.108033241
E05000533,0.145454545
E05000534,0.27444795
E05000535,0.316916488
E05000536,0.227848101
E05000537,0.232638889
E05000538,0.247191011
E05000539,0.193069307
E05000540,0.35
E05000541,0.301932367
E05000542,0.271428571
E05000543,0.316483516
E05000544,0.266490765
E05000545,0.247956403
E05000546,0.301369863
E05000547,0.196875
E05000548,0.240566038
E05000549,0.315972222
E05000550,0.296391753
E05000551,0.23880597
E05000552,0.232044199
E05000553,0.292105263
E05000554,0.11971831
E05000555,0.204081633
E05000556,0.218130312
E05000557,0.172268908
E05000558,0.130742049
E05000559,0.145669291
E05000560,0.125423729
E05000561,0.106918239
E05000562,0.265263158
E05000563,0.202970297
E05000564,0.206405694
E05000565,0.201863354
E05000566,0.182291667
E05000567,0.171548117
E05000568,0.239864865
E05000569,0.156862745
E05000570,0.245059289
E05000571,0.227748691
E05000572,0.182352941
E05009317,0.239460371
E05009318,0.253289474
E05009319,0.248021108
E05009320,0.228323699
E05009321,0.310810811
E05009322,0.218323587
E05009323,0.255474453
E05009324,0.265217391
E05009325,0.245416079
E05009326,0.274647887
E05009327,0.296187683
E05009328,0.255707763
E05009329,0.256351039
E05009330,0.184210526
E05009331,0.2593361
E05009332,0.269035533
E05009333,0.247734139
E05009334,0.265625
E05009335,0.270588235
E05009336,0.252199413
E05000590,0.24
E05000591,0.251243781
E05000592,0.227180527
E05000593,0.177777778
E05000594,0.196923077
E05000595,0.227810651
E05000596,0.307936508
E05000597,0.197674419
E05000598,0.180851064
E05000599,0.244155844
E05000600,0.267631103
E05000601,0.257069409
E05000602,0.204142012
E05000603,0.235772358
E05000604,0.225933202
E05000605,0.177700348
E05000606,0.25
E05000607,0.242130751
E05000608,0.234135667
E05000609,0.243697479
E05000610,0.155913978
E05000611,0.16
E05000612,0.215384615
E05000613,0.152631579
E05000614,0.21192053
E05000615,0.190291262
E05000616,0.218181818
E05000617,0.26713948
E05000618,0.191011236
E05000619,0.084158416
E05000620,0.260223048
E05000621,0.216894977
E05000622,0.242307692
E05000623,0.24137931
E05000624,0.165217391
E05000625,0.136363636
E05000626,0.203389831
E05000627,0.171717172
E05000628,0.208430913
E05000629,0.206779661
E05000630,0.231707317
E05000631,0.21978022
E05000632,0.340425532
E05000633,0.269230769
E05000634,0.262008734
E05000635,0.294498382
E05000636,0.214285714
E05000637,0.19311
E05000638,0.227642276
E05000639,0.213414634
E05000640,0.252475248
E05000641,0.19311
E05000642,0.291566265
E05000643,0.208333333
E05000644,0.260869565
E05000645,0.32
E05000646,0.248484848
E05000647,0.252252252
E05000648,0.265588915
E05000649,0.23880597
